Gender,Age,Palpitations,Sleep_Issues,Headaches,Irritability,Concentration,Low_Mood,Health_Issues,Loneliness,Peer_Comp,Prof_Issues,Work_Env,Relax_Struggle,Home_Env,Acad_Conf,Subj_Conf,Act_Conflict,Recent_Stress
0,21,1,2,2,1,2,2,3,5,5,2,4,4,3,2,2,2,2
1,19,4,1,5,2,5,3,1,3,2,1,4,1,2,2,3,3,4
1,19,4,1,1,1,2,2,1,1,1,2,2,1,2,2,3,1,3
1,19,3,3,3,2,1,1,5,3,3,2,3,5,3,1,3,3,5
0,20,2,3,3,1,2,1,2,5,1,5,2,4,1,1,1,3,2
0,21,2,4,4,2,1,2,1,1,1,1,1,1,3,3,2,1,2
0,19,3,1,2,1,2,1,1,2,1,2,2,5,1,1,4,1,4
0,18,2,1,5,3,1,3,5,4,1,4,3,3,3,4,4,1,3
0,20,3,4,5,1,3,4,2,3,4,1,3,5,2,1,1,3,4
0,22,2,2,2,2,2,1,2,3,1,1,2,1,2,1,2,5,5
1,18,1,2,2,3,3,2,1,1,3,3,3,2,3,5,3,1,1
0,21,1,1,1,1,1,1,1,1,2,2,1,3,1,1,1,5,2
0,20,4,2,1,1,3,2,3,1,1,1,2,1,1,5,1,1,4
1,21,1,4,3,3,3,3,3,2,3,4,1,3,2,3,2,2,1
0,19,5,5,1,2,3,2,3,3,4,2,4,4,3,1,5,2,4
1,20,4,4,2,3,1,3,1,2,2,3,1,3,2,2,5,3,3
0,18,1,2,2,3,4,3,2,2,1,1,1,1,1,2,4,3,5
0,19,4,3,4,2,3,3,3,1,3,5,3,3,3,5,5,3,3
1,21,4,2,3,2,2,1,1,1,2,1,2,3,3,3,2,3,4
1,19,3,4,2,2,4,4,3,2,1,2,3,2,2,3,1,1,4
0,15,3,3,3,3,3,2,2,5,3,3,3,1,3,5,4,3,4
0,19,3,3,1,1,1,1,2,3,4,1,3,5,4,4,1,5,1
1,19,4,4,1,2,1,4,2,4,1,3,1,4,1,1,1,1,5
0,18,2,4,3,5,2,2,2,1,2,4,3,3,2,2,3,2,3
0,19,5,1,2,4,3,3,2,3,5,2,1,5,1,2,2,2,4
1,20,2,5,2,4,4,3,2,1,2,3,1,1,1,2,1,1,4
0,19,4,3,3,2,2,3,4,1,1,2,3,1,1,3,4,3,4
1,20,2,3,4,3,2,2,2,2,1,1,1,3,1,4,3,4,2
0,20,4,2,4,5,3,1,3,1,1,3,1,1,4,4,3,2,4
0,22,4,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4
1,100,5,2,3,3,2,4,3,3,2,4,1,1,1,3,4,5,5
0,22,2,3,1,3,5,3,3,1,4,4,3,2,3,4,5,4,4
0,19,3,3,2,5,3,2,4,4,2,2,3,2,3,1,3,2,4
1,19,5,5,5,4,2,2,1,1,1,1,1,5,4,5,5,2,4
0,19,3,1,2,1,2,1,3,1,2,5,4,5,1,1,4,1,4
1,18,2,2,2,3,3,3,1,2,2,1,5,1,1,1,4,3,3
1,20,2,4,3,3,2,2,1,1,2,1,5,4,2,5,2,3,3
0,21,3,2,2,2,1,2,2,3,3,2,1,1,1,1,1,2,3
0,20,3,1,5,1,1,4,2,5,4,5,4,1,1,1,2,3,3
0,19,2,2,4,2,4,2,2,2,5,5,5,5,5,5,5,5,3
1,19,2,4,2,2,3,2,3,4,1,1,3,2,1,2,2,2,2
0,20,2,3,4,3,3,2,4,4,2,3,4,2,3,2,3,5,3
1,20,2,3,4,3,1,3,2,3,2,3,4,3,3,2,3,5,3
1,17,4,3,2,4,3,1,1,2,1,1,1,1,1,2,3,2,2
0,19,5,2,1,1,1,1,5,4,4,2,3,4,2,3,2,5,5
1,20,2,2,1,1,1,3,3,1,2,5,1,2,1,2,3,4,3
0,19,4,1,1,5,1,2,1,1,2,3,2,4,4,4,3,4,5
1,20,3,4,3,2,2,3,1,1,3,2,3,3,2,3,1,2,2
1,19,3,1,2,3,2,4,3,1,3,4,1,1,1,3,4,2,3
1,28,2,2,3,3,2,2,1,2,2,3,2,2,2,1,1,4,2
1,18,3,3,2,4,1,2,3,4,2,4,4,4,2,2,2,2,3
1,19,3,3,2,1,1,2,1,1,2,2,1,5,3,1,3,5,3
0,20,3,4,3,2,1,2,1,2,2,5,3,4,3,4,2,3,2
1,20,3,3,2,3,1,1,3,2,3,3,3,3,4,2,1,3,3
0,20,1,1,4,3,3,3,3,3,2,2,3,2,1,1,1,4,1
1,19,1,3,2,1,2,1,2,1,1,2,1,1,4,1,1,1,2
0,20,2,5,5,1,1,2,3,2,3,4,4,2,4,4,3,1,3
0,20,3,1,5,1,1,1,1,2,1,2,4,3,3,2,2,3,3
0,21,4,4,5,4,5,4,4,4,4,4,3,4,4,3,3,2,4
0,20,2,1,5,4,2,2,2,2,2,3,2,3,2,2,3,2,5
0,20,2,2,2,1,1,4,2,4,3,5,1,1,1,1,1,4,4
0,19,4,5,1,2,3,1,1,2,3,3,2,2,2,2,2,3,5
0,20,2,2,1,1,3,2,3,1,2,4,3,4,4,2,3,4,3
0,21,2,3,2,1,5,2,3,2,2,2,2,1,4,3,1,1,3
1,15,1,4,2,1,2,2,2,1,1,1,1,1,1,4,3,1,2
0,22,4,1,2,2,1,1,1,1,5,5,5,5,5,5,5,2,4
1,20,3,4,3,3,3,5,4,3,2,5,3,4,3,4,2,3,2
0,14,2,1,1,1,1,2,1,1,3,3,3,3,4,3,4,1,2
0,18,2,1,3,3,4,1,2,4,1,2,2,3,2,2,1,1,2
1,19,2,3,3,1,2,2,1,3,2,3,2,1,1,1,5,5,3
1,19,2,2,2,1,1,2,1,2,2,5,5,5,5,5,3,5,4
1,20,3,2,3,4,5,5,5,2,4,2,3,2,3,4,3,3,5
1,18,1,4,4,2,3,1,1,1,5,1,1,5,1,2,1,1,1
0,18,4,4,3,5,2,2,3,1,1,3,2,3,1,1,2,3,4
0,20,3,1,1,3,1,2,4,4,2,1,2,3,4,2,4,5,3
0,18,3,1,5,4,1,1,3,2,1,3,3,2,1,1,1,3,3
0,20,1,2,2,3,5,2,1,5,3,1,3,3,1,3,5,4,2
1,20,4,3,2,5,5,4,4,1,2,2,5,1,1,1,1,1,3
0,15,3,3,1,2,3,3,2,3,3,1,1,1,2,5,4,3,4
0,21,1,3,3,3,3,4,1,2,1,2,2,2,3,2,2,3,2
0,22,3,4,1,3,5,2,1,1,2,3,1,1,3,2,1,2,4
0,21,2,4,2,5,5,3,5,2,5,1,1,2,5,3,2,5,4
1,20,2,3,1,1,1,1,3,3,1,3,3,3,2,1,3,4,5
0,18,3,2,4,2,1,2,4,1,5,2,4,3,2,3,2,2,2
0,20,2,3,1,1,1,1,2,3,1,4,3,3,2,1,3,4,5
0,21,4,2,4,2,4,3,1,2,3,2,1,1,1,3,3,4,5
0,19,1,4,4,4,3,3,4,4,4,3,2,4,2,1,1,1,2
0,18,4,3,4,4,4,3,5,4,3,3,1,3,5,5,3,3,3
0,22,3,1,1,3,1,4,1,2,4,4,3,2,2,1,5,1,4
1,21,2,4,5,3,4,4,4,4,4,1,1,5,3,1,3,2,3
0,18,2,4,4,4,1,1,1,2,2,1,2,2,4,2,2,2,3
0,19,4,3,1,2,3,2,5,5,5,5,5,5,5,3,3,3,3
1,24,5,5,4,3,2,3,1,1,3,3,5,5,5,4,4,5,5
0,18,5,4,4,4,4,5,4,5,1,3,1,1,2,5,5,5,5
1,20,3,3,4,3,1,1,1,1,1,1,3,4,2,3,4,4,3
0,19,3,5,5,5,5,5,5,4,4,2,3,2,3,5,5,5,2
0,18,4,5,5,3,1,4,4,4,2,2,3,3,3,5,2,3,3
1,20,2,3,2,5,5,5,1,5,2,2,4,2,1,3,1,5,5
0,18,2,4,1,1,2,3,1,3,1,2,2,2,1,5,1,1,2
0,21,1,5,1,5,5,2,3,3,3,1,1,5,2,1,4,4,4
0,20,2,3,3,1,4,3,3,4,1,3,3,3,1,2,1,1,2
1,21,2,2,3,1,2,2,1,1,2,3,2,2,2,2,2,2,3
0,18,4,1,1,4,3,3,2,1,1,3,3,3,4,3,3,3,3
0,20,2,3,3,1,2,2,3,4,3,2,2,4,1,1,1,3,2
0,18,3,4,4,3,5,4,3,3,3,3,5,5,3,3,3,5,3
0,19,2,2,1,5,1,2,1,1,2,4,4,2,2,1,2,2,1
0,18,5,2,1,1,1,1,1,1,1,1,1,2,2,3,1,2,5
0,19,2,4,2,4,3,2,3,1,2,4,1,1,3,2,2,2,1
1,21,1,4,5,3,4,5,4,2,3,3,4,4,3,5,3,3,4
0,19,4,3,2,1,2,2,3,2,2,4,2,2,3,5,5,2,4
0,19,2,2,3,3,3,5,4,3,2,3,2,4,2,5,4,1,2
0,20,3,4,5,3,4,4,4,4,2,2,3,4,3,3,4,4,4
0,18,3,1,3,2,5,1,1,2,4,1,1,1,4,3,1,2,3
1,19,4,3,2,3,5,3,1,2,5,1,3,2,4,1,2,2,3
1,21,5,4,5,5,5,5,5,2,3,3,3,2,2,1,3,2,4
0,20,3,1,1,1,2,1,2,1,1,3,3,3,3,4,3,1,2
1,20,2,4,3,3,2,2,3,2,3,2,3,4,2,5,2,3,3
0,19,3,2,1,4,4,1,2,1,3,1,3,2,2,2,3,2,3
1,19,5,5,3,2,3,2,3,2,3,1,2,2,3,1,1,3,5
1,20,2,3,4,1,5,3,3,3,2,2,1,1,2,3,3,3,2
0,18,1,5,1,3,5,4,2,1,4,3,3,4,4,1,2,1,1
0,19,3,2,1,3,1,3,1,4,2,2,5,4,3,1,4,4,2
0,19,5,4,4,4,4,4,4,3,1,1,2,2,2,1,3,4,4
0,18,1,3,3,4,4,3,1,1,1,2,1,2,1,1,1,1,2
0,19,4,3,2,1,1,1,1,1,3,1,2,3,1,3,5,3,5
0,24,3,2,3,2,1,2,3,4,2,5,5,4,5,5,4,5,2
1,19,2,1,5,3,2,1,2,4,1,1,4,2,5,1,1,2,3
0,18,5,4,3,5,3,3,3,1,3,1,1,2,1,5,5,5,5
0,17,2,1,2,1,2,2,1,1,1,3,2,5,4,3,1,2,2
0,17,3,3,3,4,4,4,3,3,3,1,2,3,2,3,2,4,2
1,19,2,2,1,1,1,1,1,2,3,2,3,1,3,5,5,2,2
0,20,1,3,4,3,3,3,2,2,1,3,1,2,2,3,4,4,4
0,20,4,2,2,1,2,3,2,1,2,2,5,2,2,4,4,4,3
1,21,2,4,4,1,1,1,1,3,1,3,3,2,3,3,3,2,2
0,18,2,2,1,2,2,4,1,2,1,2,4,3,1,1,1,3,3
1,19,2,1,3,1,1,1,3,5,3,4,3,1,1,1,5,3,2
0,17,4,1,5,4,2,5,1,3,2,1,2,2,3,3,4,4,1
0,17,5,5,1,2,3,2,3,3,4,2,4,4,3,1,5,4,2
0,20,4,1,1,3,3,3,2,4,3,2,2,4,1,1,1,1,5
1,24,2,4,1,2,1,4,1,2,4,1,1,5,1,1,1,2,3
0,19,2,2,4,3,5,5,5,3,1,2,1,3,3,1,3,2,3
0,21,1,4,1,1,2,3,3,2,3,1,2,1,2,2,4,2,5
0,19,1,1,5,4,5,4,5,5,2,4,4,3,2,1,3,3,2
0,18,1,4,3,1,3,3,1,1,1,1,2,1,3,1,1,1,1
0,19,4,3,2,3,3,3,3,3,2,2,2,2,2,2,1,1,5
1,20,2,1,4,2,4,4,3,4,3,3,3,3,3,1,4,5,5
1,19,2,2,2,5,3,4,3,2,2,1,1,1,1,1,3,5,1
1,19,3,3,4,5,3,2,3,1,3,2,2,1,1,3,4,3,4
1,19,2,3,1,1,1,1,1,1,4,5,3,4,3,1,3,3,2
1,18,3,3,1,2,5,4,3,1,2,2,1,2,3,5,5,4,3
1,19,4,5,1,1,1,2,1,2,1,1,2,4,4,3,3,3,3
1,18,5,1,3,3,2,1,1,1,5,1,1,1,2,1,1,5,5
1,19,4,1,3,2,4,2,3,5,1,4,2,1,1,5,3,1,3
1,20,2,2,3,4,3,2,3,2,2,2,1,4,3,4,5,2,2
1,20,3,4,3,3,3,1,1,3,5,3,3,5,5,3,3,3,5
0,19,3,2,2,1,1,3,2,4,3,4,5,4,4,2,2,1,2
0,20,4,4,3,2,4,4,2,4,4,1,2,1,2,3,4,4,4
0,20,3,1,4,4,4,2,1,2,2,1,1,1,3,2,1,2,4
1,20,2,1,2,2,3,2,2,2,2,1,1,2,1,2,1,2,3
0,20,2,4,2,3,3,2,2,1,2,1,2,4,1,3,4,3,2
0,18,5,4,4,4,4,4,4,3,3,4,3,3,2,5,5,5,5
1,21,3,3,2,3,5,2,1,3,4,2,4,3,3,4,3,4,3
1,19,2,2,2,3,4,1,2,3,3,3,3,3,1,1,3,4,1
1,20,2,2,2,5,3,3,3,4,1,3,3,4,2,1,5,2,3
1,20,4,2,2,1,2,3,2,1,2,2,5,2,2,4,4,4,3
0,14,2,1,1,3,4,2,1,2,2,1,1,1,2,1,1,4,2
1,21,4,3,1,1,4,1,1,3,5,5,5,5,1,4,3,3,4
0,19,4,2,3,2,2,3,3,4,2,1,1,1,1,1,1,4,4
0,20,2,3,3,1,2,3,2,1,2,2,5,1,1,1,1,5,5
1,22,3,1,3,4,4,2,3,3,2,2,4,2,3,4,2,3,2
0,20,2,4,1,4,3,3,1,3,1,2,1,5,1,2,1,3,1
0,20,3,3,2,3,1,1,3,2,3,3,3,3,4,2,1,3,3
0,19,4,2,2,4,3,2,3,4,4,4,1,2,3,4,4,3,4
1,20,2,4,1,2,2,1,2,1,1,1,2,3,1,3,3,3,3
0,18,1,4,1,2,3,2,2,3,2,1,1,1,1,2,2,1,2
0,20,3,3,4,3,1,3,2,3,3,2,2,4,2,3,4,4,3
0,100,5,2,3,3,2,4,3,3,2,4,1,1,1,3,4,5,5
0,20,3,2,4,4,4,4,1,1,2,2,3,1,2,2,4,2,3
0,19,4,3,1,1,1,2,5,1,1,2,1,1,5,1,5,3,3
0,18,1,3,3,3,3,3,2,1,2,1,2,2,3,2,2,3,2
0,19,4,1,2,1,2,4,1,1,2,5,5,5,4,5,5,4,4
0,20,2,2,3,2,2,1,2,1,2,2,2,2,1,1,1,2,5
0,18,3,3,2,4,1,1,1,2,2,5,3,4,3,4,2,2,3
0,15,3,3,1,2,2,1,2,1,2,5,1,1,1,5,4,3,4
0,19,2,2,1,1,1,2,1,2,1,5,5,2,4,3,2,3,3
0,20,2,2,5,5,5,5,3,4,4,3,2,1,2,4,3,2,3
0,17,1,1,1,5,3,3,1,4,5,5,3,3,3,1,1,1,1
0,20,1,1,1,2,2,3,2,2,1,3,1,1,2,1,2,4,1
0,19,3,2,2,2,3,3,4,4,1,1,1,2,2,1,2,1,2
0,19,2,1,5,4,4,5,1,1,4,1,3,3,2,4,4,4,1
1,24,3,2,3,2,1,2,3,4,1,2,2,2,1,1,4,5,2
0,19,4,4,4,4,5,5,5,1,2,3,5,2,5,5,5,1,3
1,19,3,1,2,4,3,1,2,1,1,3,4,4,1,1,5,4,2
0,19,2,2,1,1,1,1,5,2,3,2,1,1,1,1,4,5,5
1,18,4,2,3,2,3,5,2,2,1,3,2,3,3,1,1,2,2
1,20,2,3,3,3,3,3,3,3,3,2,2,2,2,3,3,3,2
0,19,3,3,1,1,1,1,2,3,4,1,3,5,4,4,1,5,2
0,20,2,1,2,1,2,3,2,1,4,2,1,2,2,2,2,3,3
1,19,1,1,1,3,2,1,2,3,2,3,2,4,2,2,1,1,1
1,19,4,4,5,5,3,5,2,5,5,1,2,5,3,2,3,3,5
0,41,1,4,3,1,3,3,1,1,2,2,2,3,5,3,4,2,2
0,18,1,1,1,1,1,2,2,2,3,1,2,3,2,1,2,1,1
0,18,2,1,1,2,1,1,4,4,1,2,1,2,2,2,1,1,3
1,21,2,2,2,2,5,4,3,4,2,4,1,1,1,2,3,1,2
1,19,2,3,4,5,5,4,2,1,2,2,3,1,1,2,4,4,3
0,21,3,5,2,1,3,2,3,1,2,4,3,3,4,2,2,2,2
0,19,1,2,3,3,1,4,3,2,3,3,2,3,1,2,2,3,2
0,19,2,2,1,1,1,1,1,1,1,1,1,1,1,1,3,3,2
0,21,5,5,3,2,3,4,2,5,2,4,3,5,5,5,5,5,5
1,20,2,2,2,2,3,2,4,3,2,4,4,2,2,3,4,4,3
0,20,2,2,2,1,1,1,1,1,2,3,2,2,1,1,1,1,5
0,19,3,3,3,4,2,3,3,1,3,1,1,3,3,4,3,3,2
0,21,4,1,3,4,4,4,4,5,5,1,1,3,1,1,2,3,3
0,17,2,2,2,3,1,2,2,3,3,5,3,2,3,1,3,2,3
1,18,1,3,3,3,3,3,1,4,4,3,3,2,5,5,5,4,3
0,21,3,1,2,2,2,2,3,5,2,5,3,2,1,3,3,4,4
0,17,1,5,3,2,1,2,3,5,3,3,3,4,3,3,4,2,1
1,18,2,2,2,2,3,3,1,2,2,2,2,2,2,2,2,3,4
0,18,5,5,2,2,1,1,2,1,2,2,2,1,5,3,1,4,4
0,17,1,5,3,2,1,2,3,5,3,3,3,4,3,3,4,2,1
1,21,3,1,2,2,2,2,1,5,1,4,1,2,1,3,3,4,4
0,22,3,2,4,4,2,4,4,4,3,3,4,2,2,3,4,1,2
0,19,2,2,1,2,3,1,1,4,5,3,3,3,3,3,4,1,3
1,19,2,2,3,4,2,3,3,3,3,1,2,4,1,1,1,1,2
0,21,5,2,4,1,1,3,3,3,2,3,3,3,4,3,2,2,2
0,22,4,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4
0,20,2,3,3,3,2,2,1,2,4,2,4,1,2,1,2,2,1
1,20,2,2,2,3,2,3,1,2,2,2,3,2,2,3,2,2,3
1,19,4,4,2,2,3,1,2,3,3,2,2,2,2,3,1,4,4
0,20,4,3,3,1,3,2,3,2,3,2,5,1,1,1,1,1,3
0,19,3,2,1,3,1,3,1,4,2,2,5,4,3,1,4,4,2
0,19,4,3,3,2,3,2,3,4,2,4,5,1,2,2,3,2,3
0,19,2,1,2,5,4,3,4,3,2,1,1,1,2,3,2,4,2
0,22,3,1,1,3,1,4,1,2,4,4,3,2,2,1,5,1,4
0,21,3,4,2,3,2,3,3,1,2,2,2,4,1,3,2,2,4
0,20,2,4,2,3,3,2,3,1,1,2,1,4,1,3,4,3,2
0,19,3,4,1,2,1,2,3,3,2,2,1,3,2,2,2,4,3
0,19,2,5,3,1,4,3,2,2,1,1,2,3,2,1,1,2,3
1,19,4,1,1,1,1,2,3,3,3,3,3,2,3,3,3,3,5
0,18,3,1,1,2,4,3,1,2,1,1,1,1,1,3,2,2,2
0,20,3,1,1,1,4,2,1,2,2,3,2,1,1,3,2,1,2
0,21,1,3,4,3,4,5,3,3,5,3,1,2,2,3,2,3,5
0,19,2,3,1,5,4,2,1,3,3,2,2,3,4,3,3,4,3
0,19,4,2,2,2,3,2,1,2,4,2,3,5,2,4,3,4,4
0,19,3,2,3,5,2,1,2,5,5,3,2,2,3,1,3,3,2
1,17,3,4,4,5,2,1,4,4,3,2,2,3,2,2,3,4,3
0,20,4,3,1,3,2,5,4,4,1,3,4,4,2,3,4,2,5
0,19,4,2,1,2,4,3,2,1,1,2,2,1,1,2,2,2,3
1,19,2,5,5,3,3,3,1,2,2,3,2,2,2,2,2,2,2
0,21,2,3,3,3,4,1,1,2,3,2,3,1,1,3,3,2,1
0,22,2,3,5,5,1,2,1,4,3,1,1,1,2,2,2,4,2
1,37,4,2,2,3,1,1,4,5,2,4,2,2,1,3,5,4,4
1,19,3,1,4,4,4,3,4,1,3,3,4,3,2,3,2,3,2
0,21,4,2,1,1,1,1,2,1,3,2,2,2,2,3,3,3,3
0,20,1,1,4,2,4,3,1,2,4,2,3,4,4,1,3,4,2
0,20,3,3,3,3,3,4,1,1,4,1,2,3,1,1,3,5,4
0,18,2,3,3,4,1,1,1,1,3,4,2,1,3,5,4,4,3
1,19,4,4,1,1,1,2,1,3,5,2,3,3,3,2,2,3,4
0,19,5,5,2,1,3,2,3,1,4,4,4,3,3,2,5,5,5
0,20,4,3,4,4,1,2,1,2,2,1,2,2,3,2,1,1,3
0,20,5,4,2,2,2,1,5,1,1,2,3,4,2,5,2,5,5
1,20,2,4,4,1,1,1,1,3,1,3,2,4,3,4,3,3,3
1,36,2,3,4,3,2,4,4,1,1,2,5,4,3,2,1,1,3
0,20,4,4,2,2,3,2,3,4,5,2,3,5,3,4,2,2,4
0,18,3,3,3,2,1,2,3,1,3,3,2,2,2,2,2,3,4
1,19,4,3,4,2,1,3,5,4,5,3,1,2,3,2,3,3,3
0,18,4,4,1,3,2,3,1,4,4,4,4,2,2,3,1,1,4
1,21,4,4,5,5,5,1,5,2,3,2,5,5,5,1,3,5,4
1,17,3,4,4,5,2,1,4,4,3,2,2,3,2,2,3,4,3
0,19,4,2,5,4,3,3,5,3,3,2,3,2,1,1,2,1,4
1,20,3,3,2,1,1,1,1,2,3,3,1,1,1,5,2,1,3
0,20,2,2,1,5,3,2,3,3,2,3,3,3,5,2,2,3,3
1,19,1,1,1,1,3,1,2,1,1,1,3,2,2,5,5,5,4
0,19,3,2,2,3,2,3,5,3,3,2,2,4,3,3,2,2,2
0,19,2,4,5,5,2,2,3,1,2,2,3,4,2,4,2,1,3
0,18,2,3,1,1,2,1,5,1,1,1,2,3,4,4,1,1,4
0,20,3,1,1,1,2,1,2,1,3,4,3,3,5,4,3,4,2
0,19,3,1,2,2,5,4,3,1,2,3,1,2,5,3,2,4,4
0,21,2,4,5,4,4,2,1,4,1,2,1,3,2,3,2,1,3
1,21,4,1,4,4,4,2,2,3,3,2,5,2,2,3,5,3,4
0,19,3,5,1,3,1,2,1,2,3,3,2,2,5,4,5,2,1
1,20,2,3,2,3,2,3,5,3,3,2,4,1,1,1,4,4,4
1,20,2,4,1,4,5,5,5,5,4,2,3,1,1,4,1,1,1
1,20,1,2,3,3,3,3,3,1,4,3,3,3,2,5,5,2,1
1,21,1,1,2,4,3,2,1,1,1,1,1,1,1,4,4,3,1
0,19,1,1,3,2,3,3,3,2,3,2,1,1,1,1,1,1,1
0,19,1,2,3,5,2,1,3,2,1,1,2,1,1,1,1,3,2
1,19,2,2,3,4,5,2,1,3,2,3,1,5,4,5,5,4,3
1,19,3,2,1,1,1,2,1,3,2,5,2,3,2,3,4,2,2
1,20,5,4,2,5,4,1,2,2,3,2,3,4,2,5,2,5,5
0,20,3,3,1,2,3,3,2,1,1,2,1,2,2,4,4,5,4
0,18,4,3,3,2,3,2,3,3,1,1,1,2,1,1,2,2,5
1,21,4,5,1,1,3,2,3,3,2,3,2,2,1,1,1,2,4
0,19,3,2,3,3,3,3,3,2,2,2,2,2,3,4,2,4,4
0,19,4,4,4,2,4,3,3,2,2,1,2,1,5,1,2,4,4
1,20,2,3,3,1,1,3,2,2,1,2,2,2,1,3,1,1,2
0,18,2,4,4,2,2,1,3,2,2,2,1,2,1,1,1,3,3
0,18,1,3,3,1,1,1,5,3,1,1,5,3,1,3,2,1,2
1,17,3,3,2,3,1,3,2,3,2,5,4,3,4,3,2,2,4
0,28,1,1,2,2,2,2,3,5,2,4,3,1,2,4,3,2,2
0,19,3,3,4,5,3,2,3,1,3,2,2,1,1,3,4,3,4
1,22,4,5,5,5,1,1,4,2,4,3,2,3,4,5,4,1,3
1,20,2,3,2,1,3,2,2,2,2,2,1,1,1,2,1,4,3
0,21,1,5,1,5,5,2,3,3,3,1,1,5,2,1,4,4,4
0,19,2,3,2,3,2,4,1,1,2,1,1,1,2,3,1,1,3
0,20,3,4,2,1,3,2,1,2,2,1,4,3,1,2,1,1,3
0,21,1,2,4,4,1,4,4,1,2,2,2,2,2,1,3,3,2
0,18,4,2,2,3,1,2,3,1,4,5,3,3,3,3,3,3,3
0,19,3,5,2,1,1,4,2,4,3,2,3,2,2,2,3,3,4
0,18,2,2,1,1,1,1,1,5,5,5,5,5,3,2,3,4,3
0,28,5,3,4,4,1,1,2,5,1,1,2,1,1,4,3,2,4
1,20,3,3,1,2,4,4,3,3,2,2,4,4,4,2,2,3,3
0,19,2,1,2,2,1,3,1,1,4,5,5,1,1,1,2,1,2
0,21,2,4,4,2,4,3,3,2,3,2,1,1,5,3,2,1,2
